Car_Name,Real_Price,Predicted_Price,URL,Oportunidad_%
MERCEDES-BENZ Clase C C 230 K Sportcoupe,8990.0,19270.826,https://www.coches.net/mercedes-benz-clase-c-c-230-k-sportcoupe-3p-gasolina-2001-en-valencia-70387274-covo.aspx,53.34917185273278
PEUGEOT 407 ST Sport HDI 136,2999.0,5336.847,https://www.coches.net/peugeot-407-st-sport-hdi-136-4p-diesel-2004-en-sevilla-70481741-covo.aspx,43.80577322881357
NISSAN Primera 1.8 Acenta,3290.0,5832.5605,https://www.coches.net/nissan-primera-18-acenta-5p-gasolina-2005-en-madrid-70255313-covo.aspx,43.592527268958506
PEUGEOT 3008 Hybrid 300 eEAT8 GT Line,17990.0,30776.732,https://www.coches.net/peugeot-3008-hybrid-300-eeat8-gt-line-5p-electrico-hibrido-2020-en-madrid-70423997-covo.aspx,41.54675111899354
PEUGEOT 5008 Style 2.0 BlueHDi 150 FAP,8900.0,13864.616,https://www.coches.net/peugeot-5008-style-20-bluehdi-150-fap-5p-diesel-2014-en-madrid-70120997-covo.aspx,35.80781563229294
KIA Sportage 1.6 TGDi HEV Drive 4x2,22900.0,34503.973,https://www.coches.net/kia-sportage-16-tgdi-hev-171kw-230cv-drive-4x2-5p-electrico-hibrido-2023-en-madrid-70425173-covo.aspx,33.63083077956263
PEUGEOT 3008 HYbrid4,9499.0,14227.059,https://www.coches.net/peugeot-3008-hybrid4-5p-electrico-hibrido-2014-en-alicante-62494093-covo.aspx,33.232860907925506
LANCIA Ypsilon 1.2 Platinum evo II,4999.0,7476.934,https://www.coches.net/lancia-ypsilon-12-platinum-evo-ii-5p-gasolina-2016-en-sevilla-70481807-covo.aspx,33.141044910189606
MINI MINI COOPER S 5 PUERTAS,17500.0,25839.562,https://www.coches.net/mini-mini-cooper-s-5-puertas-5p-gasolina-2021-en-sta-c-tenerife-70507403-covo.aspx,32.27439512569147
PEUGEOT 407 2.2 Coupe,6490.0,9481.621,https://www.coches.net/peugeot-407-22-coupe-2p-gasolina-2006-en-madrid-70479418-covo.aspx,31.551789131522952
OPEL Insignia GS 1.5 Turbo XFT Ultimate Auto,11499.0,16512.926,https://www.coches.net/opel-insignia-gs-15-turbo-xft-ultimate-auto-5p-gasolina-2020-en-alicante-70438552-covo.aspx,30.363642686162756
SKODA Fabia 1.6 TDi Ambition,4999.0,7128.656,https://www.coches.net/skoda-fabia-16-tdi-75cv-ambition-5p-diesel-2015-en-sevilla-70317865-covo.aspx,29.87457709986659
SEAT León SP 2.0 TDI DSG SS FR,13470.0,19076.57,https://www.coches.net/seat-leon-sp-20-tdi-110kw-dsg-ss-fr-5p-diesel-2021-en-madrid-70168929-covo.aspx,29.389823331221503
MERCEDES-BENZ GLC GLC 300 de 4MATIC,38450.0,54378.6,https://www.coches.net/mercedes-benz-glc-glc-300-de-4matic-5p-electrico-hibrido-2023-en-madrid-70326869-covo.aspx,29.292039708289437
VOLKSWAGEN Golf 1.9 TDI Conceptline,4500.0,6356.7036,https://www.coches.net/volkswagen-golf-19-tdi-conceptline-5p-diesel-2007-en-sevilla-70408634-covo.aspx,29.208591846283095
FORD Mondeo 2.0 Hibrido Trend HEV Auto,14470.0,20404.318,https://www.coches.net/ford-mondeo-20-hibrido-138kw-187cv-trend-hev-auto-4p-electrico-hibrido-2020-en-madrid-70234124-covo.aspx,29.083639329948056
AUDI Q7 3.0 TDI quattro tiptronic DPF,9999.0,14080.578,https://www.coches.net/audi-q7-30-tdi-quattro-tiptronic-dpf-5p-diesel-2009-en-sevilla-70316977-covo.aspx,28.98729078284916
FORD Fiesta 1.0 EcoB. STLine SS AT,10990.0,15459.578,https://www.coches.net/ford-fiesta-10-ecob-92kw-125cv-stline-ss-at-5p-5p-gasolina-2020-en-barcelona-70485932-covo.aspx,28.911384831207997
AUDI Q7 3.0 TDI quattro tiptronic,9970.0,13992.36,https://www.coches.net/audi-q7-30-tdi-quattro-tiptronic-5p-diesel-2007-en-madrid-70379817-covo.aspx,28.74683220342686
ABARTH 500C 595C Turismo 1.4 16v TJet E6D,18990.0,26627.494,https://www.coches.net/abarth-500c-595c-turismo-14-16v-tjet-121kw-e6d-2p-gasolina-2021-en-madrid-70347838-covo.aspx,28.682737099818333
AIWAYS U5 Prime,18150.0,25397.898,https://www.coches.net/aiways-u5-prime-5p-electrico-hibrido-2021-en-malaga-70499766-covo.aspx,28.537394364875784
LAND-ROVER Range Rover Velar 3.0 D300 HSE 4WD Auto,23000.0,32123.52,https://www.coches.net/land-rover-range-rover-velar-30-d300-221kw-300cv-hse-4wd-auto-5p-diesel-2019-en-murcia-70412259-covo.aspx,28.40136966428779
OPEL Astra 1.7 CDTi 130 CV Excellence,7980.0,11060.457,https://www.coches.net/opel-astra-17-cdti-130-cv-excellence-4p-diesel-2013-en-jaen-70372069-covo.aspx,27.851082668162235
JAGUAR XE 2.0I RWD Prestige Auto,16485.0,22806.418,https://www.coches.net/jaguar-xe-20i-147kw-rwd-prestige-auto-4p-gasolina-2018-en-sta-c-tenerife-70286580-covo.aspx,27.71771515111135
SEAT León ST 1.5 TGI SS Xcellence,11990.0,16532.78,https://www.coches.net/seat-leon-st-15-tgi-96kw-ss-xcellence-5p-otros-2020-en-madrid-70417506-covo.aspx,27.477408458078607
MG MG3 Hybrid+ Comfort,16890.0,23270.305,https://www.coches.net/mg-mg3-hybrid-comfort-5p-electrico-hibrido-2024-en-jaen-70457383-covo.aspx,27.41822581690251
SEAT León 1.5 eTSI DSG7 SS FR Go XL,13590.0,18670.117,https://www.coches.net/seat-leon-15-etsi-110kw-dsg7-ss-fr-go-xl-5p-electrico-hibrido-2022-en-madrid-62427109-covo.aspx,27.209883775669258
BMW X5 3.0sd,11470.0,15717.206,https://www.coches.net/bmw-x5-30sd-5p-diesel-2008-en-madrid-70439363-covo.aspx,27.02265300785322
BMW Serie 2 Active Tourer 225xe,15985.0,21892.65,https://www.coches.net/bmw-serie-2-active-tourer-225xe-5p-electrico-hibrido-2022-en-las-palmas-70286472-covo.aspx,26.984628563542078
FIAT Panda Panda Hybrid 1.0 Gse,7900.0,10787.156,https://www.coches.net/fiat-panda-panda-hybrid-10-gse-51kw-70cv-5p-electrico-hibrido-2021-en-madrid-70487995-covo.aspx,26.764757857289773
FIAT Panda Panda Hybrid 1.0 Gse,7900.0,10787.156,https://www.coches.net/fiat-panda-panda-hybrid-10-gse-51kw-70cv-5p-electrico-hibrido-2021-en-madrid-70473967-covo.aspx,26.764757857289773
LAND-ROVER Range Rover Velar 2.0 D240 HSE 4WD Auto,27900.0,38018.71,https://www.coches.net/land-rover-range-rover-velar-20-d240-177kw-240cv-hse-4wd-auto-5p-diesel-2019-en-malaga-70015122-covo.aspx,26.615081595308233
