Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Ref
MINI,MINI COUNTRYMAN Cooper S E ALL4,20.990 €,2020,67.000 km,Híbrido enchufable,224 cv,Sta. C. Tenerife,https://www.coches.net/mini-countryman-cooper-s-e-all4-5p-electrico-hibrido-2020-en-sta-c-tenerife-62344199-covo.aspx
RENAULT,RENAULT Clio Zen ETech Hibrido,15.990 €,2022,74.000 km,Híbrido,140 cv,Sta. C. Tenerife,https://www.coches.net/renault-clio-zen-etech-hibrido-104-kw-140cv-5p-electrico-hibrido-2021-en-sta-c-tenerife-62344203-covo.aspx
RENAULT,RENAULT Trafic SL LIMITED Energy dCi 120 CV SS,18.990 €,2021,95.000 km,Diesel,120 cv,Sta. C. Tenerife,https://www.coches.net/renault-trafic-sl-limited-energy-dci-88-kw-120-cv-ss-4p-diesel-2019-en-sta-c-tenerife-62344205-covo.aspx
TOYOTA,TOYOTA Prius PlugIn 125PH Advance,18.990 €,2022,78.000 km,Híbrido enchufable,122 cv,Sta. C. Tenerife,https://www.coches.net/toyota-prius-plugin-125ph-advance-5p-electrico-hibrido-2021-en-sta-c-tenerife-62344210-covo.aspx
RENAULT,RENAULT Mégane Intens ETECH Hibrido Ench. 117kW160CV,15.990 €,2022,68.000 km,Híbrido enchufable,160 cv,Sta. C. Tenerife,https://www.coches.net/renault-megane-intens-etech-hibrido-ench-117kw160cv-5p-electrico-hibrido-2021-en-sta-c-tenerife-62352476-covo.aspx
SEAT,SEAT Ateca 1.0 TSI StSp Style XL,18.990 €,2023,73.500 km,Gasolina,110 cv,Sta. C. Tenerife,https://www.coches.net/seat-ateca-10-tsi-81kw-stsp-style-xl-5p-gasolina-2023-en-sta-c-tenerife-62352477-covo.aspx
KIA,KIA e-Niro eNiro Drive Long Range,33.640 €,2023,10.536 km,Eléctrico,204 cv,Sevilla,https://www.coches.net/kia-e-niro-eniro-150kw-204cv-drive-long-range-5p-electrico-hibrido-2024-en-sevilla-62353437-covo.aspx
FIAT,FIAT 500 Dolcevita 1.0 Hybrid 70 CV,9.990 €,2021,82.896 km,Híbrido,70 cv,Las Palmas,https://www.coches.net/fiat-500-dolcevita-10-hybrid-51kw-70-cv-3p-electrico-hibrido-2021-en-las-palmas-62354356-covo.aspx
FIAT,FIAT 500 Dolcevita 1.0 Hybrid 70 CV,10.990 €,2021,95.948 km,Híbrido,70 cv,Las Palmas,https://www.coches.net/fiat-500-dolcevita-10-hybrid-51kw-70-cv-3p-electrico-hibrido-2021-en-las-palmas-62362117-covo.aspx
DS,DS DS 3 Crossback PureTech PERFORMANCE LINE,13.990 €,2022,75.000 km,Gasolina,130 cv,Sta. C. Tenerife,https://www.coches.net/ds-ds-3-crossback-puretech-96kw-130cv-performance-line-5p-gasolina-2022-en-sta-c-tenerife-62364777-covo.aspx
AUDI,AUDI A3 Sportback S line 35 TFSI S tronic,37.300 €,2025,15.084 km,Híbrido,150 cv,Gipuzkoa,https://www.coches.net/audi-a3-sportback-s-line-35-tfsi-110kw-s-tronic-5p-electrico-hibrido-2025-en-guipuzcoa-62364796-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Arteon R 2.0 TSI DSG 4Motion,44.900 €,2021,60.000 km,Gasolina,320 cv,Bizkaia,https://www.coches.net/volkswagen-arteon-r-20-tsi-235kw-320cv-dsg-4motion-5p-gasolina-2022-en-vizcaya-62373072-covo.aspx
BMW,BMW Serie 1 116i,13.990 €,2017,74.000 km,Gasolina,109 cv,Valencia,https://www.coches.net/bmw-serie-1-116i-3p-gasolina-2017-en-valencia-62375523-covo.aspx
KIA,KIA e-Niro eNiro Drive Long Range,33.900 €,2023,1535 km,Eléctrico,204 cv,Sevilla,https://www.coches.net/kia-e-niro-eniro-150kw-204cv-drive-long-range-5p-electrico-hibrido-2023-en-sevilla-62387411-covo.aspx
OPEL,OPEL Grandland X PHEV 1.6 Turbo Edition Auto 4x2,17.990 €,2022,60.500 km,Híbrido enchufable,224 cv,Las Palmas,https://www.coches.net/opel-grandland-x-phev-16-turbo-edition-auto-4x2-5p-electrico-hibrido-2021-en-las-palmas-62438281-covo.aspx
JEEP,JEEP Compass 1.4 Mair Longitude 4x2,14.990 €,2020,102.500 km,Gasolina,140 cv,Las Palmas,https://www.coches.net/jeep-compass-14-mair-103kw-longitude-4x2-5p-gasolina-2020-en-las-palmas-62438284-covo.aspx
KIA,KIA XCeed 1.6 GDi PHEV eDrive,16.990 €,2021,76.000 km,Híbrido enchufable,141 cv,Las Palmas,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-edrive-5p-electrico-hibrido-2021-en-las-palmas-62438286-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase A A 250 e,22.990 €,2023,75.500 km,Híbrido enchufable,218 cv,Las Palmas,https://www.coches.net/mercedes-benz-clase-a-a-250-e-5p-electrico-hibrido-2022-en-las-palmas-62438288-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase A A 250 e,24.990 €,2021,70.500 km,Híbrido enchufable,218 cv,Las Palmas,https://www.coches.net/mercedes-benz-clase-a-a-250-e-5p-electrico-hibrido-2020-en-las-palmas-62438289-covo.aspx
AUDI,AUDI A1 Sportback 25 TFSI,16.990 €,2022,59.000 km,Gasolina,95 cv,Las Palmas,https://www.coches.net/audi-a1-sportback-25-tfsi-70kw-95cv-5p-gasolina-2022-en-las-palmas-62438294-covo.aspx
FIAT,FIAT 500C Dolcevita 1.0 Hybrid 70 CV,11.990 €,2023,70.000 km,Híbrido,70 cv,Las Palmas,https://www.coches.net/fiat-500c-dolcevita-10-hybrid-51kw-70-cv-2p-electrico-hibrido-2022-en-las-palmas-62438301-covo.aspx
HYUNDAI,HYUNDAI i10 1.0 Klass,10.990 €,2023,73.000 km,Gasolina,67 cv,Las Palmas,https://www.coches.net/hyundai-i10-10-klass-5p-gasolina-2023-en-las-palmas-62438304-covo.aspx
KIA,KIA XCeed 1.6 GDi PHEV eMotion,18.990 €,2021,47.000 km,Híbrido enchufable,141 cv,Las Palmas,https://www.coches.net/kia-xceed-16-gdi-phev-104kw-141cv-emotion-5p-electrico-hibrido-2022-en-las-palmas-62438307-covo.aspx
