Brand,Car_Name,Selling_Price,Year,Kms_Driven,Fuel_Type,cc,Location,Date Scraping,Etiqueta,Ref
CITROEN,CITROEN Berlingo Talla M PureTech 110 SS 100 ANOS,10.995 €,2019,119.000 km,Gasolina,110 cv,Sta. C. Tenerife,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/citroen-berlingo-talla-m-puretech-110-ss-100-anos-5p-gasolina-2019-en-sta-c-tenerife-70594491-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf GTI 2.0 TSI DSG,27.990 €,2022,85.000 km,Gasolina,245 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/volkswagen-golf-gti-20-tsi-180kw-245cv-dsg-5p-gasolina-2022-en-madrid-70556436-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase E Coupe E 350,30.999 €,2020,136.657 km,Híbrido,299 cv,Sevilla,2026-05-11 13:41:28,ECO,https://www.coches.net/mercedes-benz-clase-e-coupe-e-350-2p-electrico-hibrido-2019-en-sevilla-70566512-covo.aspx
TOYOTA,TOYOTA Yaris 90D Active,5.900 €,2015,156.402 km,Diesel,90 cv,Málaga,2026-05-11 13:41:28,B,https://www.coches.net/toyota-yaris-90d-active-5p-diesel-2015-en-malaga-70551170-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Tiguan RLine 2.0 TDI DSG,22.999 €,2020,167.000 km,Diesel,150 cv,Sevilla,2026-05-11 13:41:28,C,https://www.coches.net/volkswagen-tiguan-rline-20-tdi-110kw-150cv-dsg-5p-diesel-2021-en-sevilla-70592347-covo.aspx
TOYOTA,TOYOTA Corolla 2.0 180H STYLE ECVT TOURING SPORT,22.500 €,2021,89.000 km,Híbrido,180 cv,Madrid,2026-05-11 13:41:28,ECO,https://www.coches.net/toyota-corolla-20-180h-style-ecvt-touring-sport-5p-electrico-hibrido-2021-en-madrid-70536537-covo.aspx
RENAULT,RENAULT Mégane Limited Energy TCe 115 SS eco2,7.999 €,2015,117.957 km,Gasolina,115 cv,Sevilla,2026-05-11 13:41:28,C,https://www.coches.net/renault-megane-limited-energy-tce-115-ss-eco2-5p-gasolina-2014-en-sevilla-70537658-covo.aspx
MAZDA,MAZDA CX-5 2.2 DE 2WD Luxury,11.000 €,2016,210.000 km,Diesel,150 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/mazda-cx-5-22-110kw-150cv-de-2wd-luxury-5p-diesel-2015-en-madrid-62557114-covo.aspx
MINI,MINI COUNTRYMAN COOPER S COUNTRYMAN automatico,14.500 €,2014,99.000 km,Gasolina,190 cv,Granada,2026-05-11 13:41:28,C,https://www.coches.net/mini-countryman-cooper-s-countryman-automatico-5p-gasolina-2015-en-granada-70559209-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Touareg 3.0 V6 TDI Motion Tiptronic,11.850 €,2008,206.965 km,Diesel,240 cv,Albacete,2026-05-11 13:41:28,B,https://www.coches.net/volkswagen-touareg-30-v6-tdi-motion-tiptronic-5p-diesel-2009-en-albacete-70600054-covo.aspx
KIA,KIA Sportage 1.6 TGDi HEV Tech 4x2,36.700 €,2025,9000 km,Híbrido,239 cv,Murcia,2026-05-11 13:41:28,ECO,https://www.coches.net/km-0/kia/sportage/murcia/16-tgdi-hev-176kw-239cv-tech-4x2-electrico-hibrido-de-km0-70602173-kovn.aspx
PEUGEOT,PEUGEOT Rifter Active Pack Busin. Standard BlueHDi,14.900 €,2022,110.000 km,Diesel,100 cv,Baleares,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/peugeot-rifter-active-pack-busin-standard-bluehdi-73kw-5p-diesel-2021-en-baleares-70602460-covo.aspx
BMW,BMW Serie 4 420d Gran Coupe,44.690 €,2023,37.769 km,Híbrido,190 cv,Granada,2026-05-11 13:41:28,ECO,https://www.coches.net/bmw-serie-4-420d-gran-coupe-5p-electrico-hibrido-2023-en-granada-70604065-covo.aspx
BMW,BMW X3 20d xDrive,58.900 €,2025,2462 km,Híbrido,197 cv,Madrid,2026-05-11 13:41:28,ECO,https://www.coches.net/bmw-x3-20d-xdrive-5p-electrico-hibrido-2024-en-madrid-70604865-covo.aspx
BMW,BMW X3 20d xDrive,55.500 €,2025,14.069 km,Híbrido,197 cv,Madrid,2026-05-11 13:41:28,ECO,https://www.coches.net/bmw-x3-20d-xdrive-5p-electrico-hibrido-2024-en-madrid-70604975-covo.aspx
OPEL,OPEL Corsa CMon 1.3 CDTi,6.499 €,2009,154.596 km,Diesel,90 cv,Sevilla,2026-05-11 13:41:28,B,https://www.coches.net/opel-corsa-cmon-13-cdti-5p-diesel-2010-en-sevilla-70503916-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Style 2.0 TDI DSG,29.990 €,2026,1 km,Diesel,150 cv,Barcelona,2026-05-11 13:41:28,C,https://www.coches.net/km-0/volkswagen/golf/barcelona/style-20-tdi-110kw-150cv-dsg-diesel-de-km0-70564095-kovn.aspx
VOLVO,VOLVO S60 Recharge T8 Ultimate Dark Auto,39.900 €,2023,75.328 km,Híbrido enchufable,455 cv,A Coruña,2026-05-11 13:41:28,CERO,https://www.coches.net/volvo-s60-recharge-t8-ultimate-dark-auto-4p-electrico-hibrido-2023-en-a-coruna-70564778-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ CLA CLA 200 D DCT,29.999 €,2020,131.000 km,Diesel,150 cv,Cádiz,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/mercedes-benz-cla-cla-200-d-dct-4p-diesel-2021-en-cadiz-70566171-covo.aspx
BMW,BMW Serie 5 M5 Competition,93.900 €,2022,64.000 km,Gasolina,625 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/bmw-serie-5-m5-competition-4p-gasolina-2022-en-madrid-70566328-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf R 2.0 TSI DSG 4Motion,55.900 €,2025,23.000 km,Gasolina,333 cv,Barcelona,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/volkswagen-golf-r-20-tsi-245kw-333cv-dsg-4motion-5p-gasolina-2025-en-barcelona-70569965-covo.aspx
TOYOTA,TOYOTA Corolla 1.8 125H BUSINESS PLUS ECVT,16.200 €,2022,114.972 km,Híbrido,122 cv,Madrid,2026-05-11 13:41:28,ECO,https://www.coches.net/toyota-corolla-18-125h-business-plus-ecvt-5p-electrico-hibrido-2021-en-madrid-70583971-covo.aspx
BMW,BMW Serie 1 118i,22.990 €,2022,46.496 km,Gasolina,140 cv,Barcelona,2026-05-11 13:41:28,C,https://www.coches.net/bmw-serie-1-118i-5p-gasolina-2020-en-barcelona-70485806-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase E E 300 de con tecnologia hibrida EQ,61.900 €,2025,7180 km,Híbrido enchufable,313 cv,Madrid,2026-05-11 13:41:28,CERO,https://www.coches.net/mercedes-benz-clase-e-e-300-de-con-tecnologia-hibrida-eq-4p-electrico-hibrido-2025-en-madrid-70501460-covo.aspx
OPEL,OPEL Insignia GS 1.5 Turbo XFL Selective,12.490 €,2017,118.825 km,Gasolina,140 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/opel-insignia-gs-15-turbo-103kw-xfl-selective-5p-gasolina-2018-en-madrid-70476824-covo.aspx
VOLKSWAGEN,VOLKSWAGEN Golf Life 1.0 eTSI DSG,21.200 €,2023,50.000 km,Híbrido,110 cv,Tarragona,2026-05-11 13:41:28,ECO,https://www.coches.net/volkswagen-golf-life-10-etsi-81kw-110cv-dsg-5p-electrico-hibrido-2023-en-tarragona-70585667-covo.aspx
OPEL,OPEL Corsa 1.2T XHL Elegance,11.490 €,2022,23.000 km,Gasolina,100 cv,Barcelona,2026-05-11 13:41:28,C,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-elegance-5p-gasolina-2023-en-barcelona-70529242-covo.aspx
OPEL,OPEL Corsa 1.2T XHL Edition,11.950 €,2022,43.096 km,Gasolina,100 cv,Alicante,2026-05-11 13:41:28,C,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-edition-5p-gasolina-2022-en-alicante-70530708-covo.aspx
OPEL,OPEL Corsa 1.2T XHL GS,13.890 €,2023,43.906 km,Gasolina,100 cv,Alicante,2026-05-11 13:41:28,C,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-gs-5p-gasolina-2023-en-alicante-70530710-covo.aspx
OPEL,OPEL Corsa 1.2T XHL GS,10.690 €,2022,113.776 km,Gasolina,100 cv,Valencia,2026-05-11 13:41:28,C,https://www.coches.net/opel-corsa-12t-xhl-74kw-100cv-gs-5p-gasolina-2023-en-valencia-70532277-covo.aspx
RENAULT,RENAULT Mégane Sport Tourer Expression dCi 105 eco2,4.000 €,2010,236.684 km,Diesel,105 cv,Madrid,2026-05-11 13:41:28,B,https://www.coches.net/renault-megane-sport-tourer-expression-dci-105-eco2-5p-diesel-2010-en-madrid-70602728-covo.aspx
RENAULT,RENAULT Mégane Business Blue dCi,11.990 €,2020,118.172 km,Diesel,115 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/renault-megane-business-blue-dci-81-kw-115cv-5p-diesel-2018-en-madrid-70453473-covo.aspx
MERCEDES-BENZ,MERCEDES-BENZ Clase E Coupe E 220 d,34.990 €,2020,85.000 km,Diesel,194 cv,Valencia,2026-05-11 13:41:28,C,https://www.coches.net/mercedes-benz-clase-e-coupe-e-220-d-2p-diesel-2019-en-valencia-70523387-covo.aspx
DS,DS DS 4 ETENSE 225 PERFORMANCE LINE,26.900 €,2023,17.217 km,Híbrido enchufable,225 cv,Pontevedra,2026-05-11 13:41:28,CERO,https://www.coches.net/ds-ds-4-etense-225-performance-line-5p-electrico-hibrido-2023-en-pontevedra-70593481-covo.aspx
PEUGEOT,PEUGEOT 208 Allure HYBRID 100 eDCS6,17.790 €,2025,24.220 km,Híbrido,100 cv,Córdoba,2026-05-11 13:41:28,ECO,https://www.coches.net/peugeot-208-allure-hybrid-100-edcs6-5p-electrico-hibrido-2023-en-cordoba-70555146-covo.aspx
RENAULT,RENAULT Grand Scénic Limited TCe EDC GPF MY21,16.450 €,2021,164.361 km,Gasolina,140 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/renault-grand-scenic-limited-tce-103-kw-140cv-edc-gpf-my21-5p-gasolina-2021-en-madrid-70526707-covo.aspx
RENAULT,RENAULT Kangoo Combi Life Edition One 1.5 Blue dCi 70kW95CV,7.995 €,2021,220.000 km,Diesel,95 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/renault-kangoo-combi-life-edition-one-15-blue-dci-70kw95cv-5p-diesel-2021-en-madrid-70595169-covo.aspx
FORD,FORD Fiesta 1.5 TDCi Trend,9.990 €,2017,93.593 km,Diesel,75 cv,Madrid,2026-05-11 13:41:28,C,https://www.coches.net/ford-fiesta-15-tdci-55kw-75cv-trend-5p-5p-diesel-2017-en-madrid-70469054-covo.aspx
AUDI,AUDI A6 Avant 50 TFSIe quattroultra Black Line,39.990 €,2021,104.000 km,Híbrido enchufable,299 cv,A Coruña,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/audi-a6-avant-50-tfsie-quattroultra-black-line-5p-electrico-hibrido-2022-en-a-coruna-70571212-covo.aspx
PORSCHE,PORSCHE Panamera 4S Executive,69.980 €,2018,118.000 km,Gasolina,440 cv,Jaén,2026-05-11 13:41:28,UNKNOWN,https://www.coches.net/porsche-panamera-4s-executive-5p-gasolina-2018-en-jaen-70580429-covo.aspx
BMW,BMW X5 xDrive30d,46.990 €,2019,114.000 km,Diesel,265 cv,Bizkaia,2026-05-11 13:41:28,C,https://www.coches.net/bmw-x5-xdrive30d-5p-diesel-2020-en-vizcaya-70602455-covo.aspx
